Vin,Vout
-1.487278,-1.486997
-1.480611,-1.480335
-1.473923,-1.473645
-1.467251,-1.466968
-1.460613,-1.460362
-1.454089,-1.453814
-1.447501,-1.447218
-1.440827,-1.440554
-1.434223,-1.433938
-1.427639,-1.427385
-1.421052,-1.420776
-1.414496,-1.414231
-1.407777,-1.407494
-1.401175,-1.400918
-1.394482,-1.394234
-1.387932,-1.387649
-1.381265,-1.38101
-1.374705,-1.374436
-1.368195,-1.367941
-1.361456,-1.361214
-1.354734,-1.354488
-1.348209,-1.34794
-1.341608,-1.341346
-1.335032,-1.33477
-1.328442,-1.328206
-1.321821,-1.321571
-1.315291,-1.315037
-1.308688,-1.308433
-1.302131,-1.301867
-1.295483,-1.295242
-1.288819,-1.288568
-1.282325,-1.282075
-1.275737,-1.275484
-1.269118,-1.26889
-1.262509,-1.262279
-1.255896,-1.255656
-1.249222,-1.248982
-1.242666,-1.242433
-1.236046,-1.235829
-1.229461,-1.229216
-1.222992,-1.222763
-1.216405,-1.216153
-1.209628,-1.209396
-1.203018,-1.202787
-1.196449,-1.196221
-1.189855,-1.189613
-1.183252,-1.183019
-1.176614,-1.176388
-1.169998,-1.169775
-1.163336,-1.163106
-1.156856,-1.156632
-1.150273,-1.150066
-1.143565,-1.143351
-1.136908,-1.136712
-1.130313,-1.130089
-1.123634,-1.123425
-1.117074,-1.116851
-1.110494,-1.11028
-1.103907,-1.103697
-1.097334,-1.097123
-1.090498,-1.090292
-1.083988,-1.083773
-1.077319,-1.07712
-1.07074,-1.070541
-1.064234,-1.064036
-1.0576,-1.05739
-1.05105,-1.050854
-1.044413,-1.044222
-1.037889,-1.037706
-1.031307,-1.031119
-1.024604,-1.024414
-1.018023,-1.017814
-1.011438,-1.011258
-1.004841,-1.004664
-0.997565,-0.997353
-0.984425,-0.98995
-0.977157,-0.976996
-0.969743,-0.969556
-0.962478,-0.962295
-0.955255,-0.955048
-0.947946,-0.947746
-0.94043,-0.940221
-0.933111,-0.9329
-0.925789,-0.925592
-0.918449,-0.918256
-0.911121,-0.910909
-0.903735,-0.903551
-0.896403,-0.896226
-0.889123,-0.88894
-0.88178,-0.881615
-0.874303,-0.874132
-0.866952,-0.866781
-0.859579,-0.859416
-0.852238,-0.852075
-0.844913,-0.844751
-0.837644,-0.837482
-0.830296,-0.83014
-0.822827,-0.822647
-0.815491,-0.815323
-0.808138,-0.807965
-0.800846,-0.800671
-0.793517,-0.793361
-0.786214,-0.786057
-0.778914,-0.778757
-0.771603,-0.77145
-0.764337,-0.764193
-0.756878,-0.756729
-0.749532,-0.749377
-0.742208,-0.742059
-0.734905,-0.734765
-0.727663,-0.727526
-0.720248,-0.720113
-0.712987,-0.712853
-0.705566,-0.705427
-0.698284,-0.698139
-0.691053,-0.690898
-0.683768,-0.683618
-0.6765,-0.676353
-0.668986,-0.668847
-0.661721,-0.661582
-0.654297,-0.654171
-0.646992,-0.646867
-0.639646,-0.639525
-0.632292,-0.632184
-0.624962,-0.624852
-0.617642,-0.617515
-0.610318,-0.610211
-0.60289,-0.60278
-0.595553,-0.595436
-0.588207,-0.5881
-0.580887,-0.580773
-0.57361,-0.573486
-0.566264,-0.56615
-0.558947,-0.558831
-0.551467,-0.551354
-0.544142,-0.544037
-0.536831,-0.536724
-0.529524,-0.529419
-0.522151,-0.522069
-0.514871,-0.514776
-0.507546,-0.507454
-0.500239,-0.50016
-0.492924,-0.492842
-0.485444,-0.485345
-0.478181,-0.47812
-0.4709,-0.470821
-0.463629,-0.463549
-0.456244,-0.456174
-0.448916,-0.448828
-0.441614,-0.441525
-0.434168,-0.434099
-0.426892,-0.426818
-0.419721,-0.419646
-0.412439,-0.41239
-0.404915,-0.404865
-0.397622,-0.397546
-0.390264,-0.390222
-0.38289,-0.382842
-0.375573,-0.375511
-0.36814,-0.368102
-0.360803,-0.360763
-0.35355,-0.3535
-0.346198,-0.34616
-0.338831,-0.338794
-0.331418,-0.331371
-0.324168,-0.324126
-0.316738,-0.316692
-0.309433,-0.309387
-0.302105,-0.302075
-0.294788,-0.294764
-0.287317,-0.287296
-0.27997,-0.279937
-0.272668,-0.27264
-0.265324,-0.265296
-0.25798,-0.257956
-0.250636,-0.250617
-0.243308,-0.243281
-0.236102,-0.236073
-0.228771,-0.228759
-0.221349,-0.221326
-0.21403,-0.214008
-0.206688,-0.206679
-0.199473,-0.199448
-0.192158,-0.192134
-0.184721,-0.184707
-0.177469,-0.177453
-0.17004,-0.170032
-0.162771,-0.162767
-0.155476,-0.155467
-0.148354,-0.148342
-0.141034,-0.141031
-0.133522,-0.133516
-0.126197,-0.126197
-0.118789,-0.118798
-0.111541,-0.111545
-0.104152,-0.104163
-0.096416,-0.096405
-0.089166,-0.088767
-0.081097,-0.081059
-0.073476,-0.073476
-0.065542,-0.065557
-0.057911,-0.057924
-0.050093,-0.05011
-0.042417,-0.042434
-0.034699,-0.03471
-0.026942,-0.026976
-0.01903,-0.019076
-0.011325,-0.011374
-0.003324,-0.003356
0.004739,0.004686
0.012424,0.012389
0.020155,0.020101
0.027927,0.027879
0.035533,0.03549
0.043268,0.04322
0.051082,0.051029
0.058804,0.058754
0.066446,0.066398
0.074151,0.074105
0.081881,0.081811
0.089618,0.089136
0.097361,0.097292
0.105082,0.104623
0.112817,0.112296
0.120022,0.119921
0.127375,0.127311
0.134869,0.134812
0.142191,0.142101
0.14958,0.149506
0.156852,0.156783
0.164246,0.164159
0.171586,0.171496
0.178913,0.178831
0.186277,0.186183
0.193586,0.193489
0.201101,0.201009
0.208357,0.208263
0.215799,0.215705
0.223097,0.223015
0.230372,0.230269
0.237719,0.237632
0.244954,0.244866
0.252496,0.252394
0.259827,0.259732
0.267147,0.267052
0.274465,0.274363
0.28175,0.281639
0.28911,0.289003
0.296363,0.296258
0.303672,0.303562
0.310978,0.310869
0.318484,0.318371
0.325808,0.325684
0.333034,0.332918
0.340338,0.340227
0.347644,0.347526
0.35501,0.354901
0.362342,0.362232
0.369694,0.369575
0.377023,0.37691
0.384176,0.384056
0.391476,0.391335
0.398928,0.398793
0.406287,0.406148
0.413602,0.413466
0.42096,0.420821
0.42827,0.428132
0.435706,0.435558
0.443028,0.442881
0.450355,0.450209
0.457599,0.457444
0.464984,0.464832
0.472349,0.472203
0.479679,0.479534
0.487097,0.486957
0.494351,0.494206
0.501683,0.501516
0.50898,0.508812
0.516454,0.516298
0.523846,0.523664
0.531112,0.530949
0.53848,0.538317
0.545749,0.545573
0.553113,0.552943
0.560431,0.560264
0.567739,0.567554
0.575075,0.574899
0.582368,0.582193
0.589832,0.589635
0.597067,0.596881
0.604366,0.604191
0.611707,0.611517
0.619039,0.618854
0.626354,0.626171
0.633727,0.633526
0.641097,0.640889
0.648423,0.648222
0.655648,0.655442
0.662945,0.662739
0.670446,0.670232
0.677785,0.67755
0.685172,0.684954
0.692476,0.692282
0.699869,0.699648
0.707195,0.706982
0.714512,0.71431
0.721763,0.721538
0.729088,0.728878
0.736507,0.736292
0.743845,0.743624
0.751242,0.751023
0.758612,0.758376
0.76594,0.7657
0.773297,0.773062
0.780572,0.780322
0.788141,0.787912
0.795395,0.795147
0.802754,0.80251
0.810041,0.809815
0.817397,0.81717
0.82474,0.824516
0.831993,0.83176
0.839288,0.839047
0.846547,0.846304
0.854012,0.853779
0.861247,0.861
0.868545,0.868303
0.875883,0.875638
0.883183,0.88292
0.890603,0.890346
0.897867,0.897604
0.905318,0.905042
0.912628,0.912352
0.919877,0.919598
0.927225,0.926939
0.934597,0.93433
0.942054,0.941794
0.949367,0.949098
0.956685,0.956417
0.964006,0.963734
0.971351,0.971079
0.978696,0.978421
0.985931,0.985671
0.993295,0.998741
1.006387,1.005402
1.013703,1.012638
1.020334,1.020028
1.026946,1.026685
1.033485,1.033211
1.040087,1.039824
1.046652,1.046382
1.05342,1.053141
1.060032,1.059774
1.066658,1.066378
1.073268,1.072988
1.079763,1.079487
1.086386,1.086126
1.09297,1.092693
1.099601,1.099307
1.106126,1.105849
1.112701,1.112416
1.119322,1.119035
1.126006,1.125704
1.132558,1.132259
1.139164,1.138872
1.145696,1.14542
1.152349,1.152058
1.158979,1.158692
1.165458,1.165152
1.172327,1.172034
1.178798,1.17851
1.18545,1.185156
1.191877,1.191587
1.198441,1.19812
1.205273,1.204979
1.211844,1.21154
1.218369,1.218061
1.22498,1.224675
1.231603,1.231275
1.238266,1.237942
1.244918,1.244593
1.251443,1.251128
1.258049,1.257725
1.264546,1.264225
1.271325,1.270999
1.277969,1.277658
1.284488,1.284163
1.291242,1.290925
1.29779,1.297449
1.304336,1.304015
1.310893,1.310574
1.317546,1.317223
1.324276,1.323953
1.330877,1.330528
1.337451,1.337128
1.344061,1.343726
1.350646,1.350312
1.357226,1.356871
1.363853,1.363501
1.370417,1.370073
1.377001,1.376664
1.383542,1.383198
1.390224,1.389866
1.396774,1.39643
1.403423,1.403071
