D1-1-in,D1-1-out,D1-2-in,D1-2-out,D3-1-in,D3-1-out,D3-2-in,D3-2-out,D4-1-in,D4-1-out,D4-2-in,D4-2-out
-0.875343,0.0697,-1.15337,6.10E-04,-1.153229,4.00E-04,-0.8929395,0.06912,-1.170244,0.00399,-0.658059,0.07157
-0.867965,0.06853,-1.1456445,4.80E-04,-1.145496,3.20E-04,-0.885631,0.0695,-1.162977,0.00365,-0.6507065,0.07063
-0.860622,0.06936,-1.1379025,2.20E-04,-1.1377475,3.20E-04,-0.8782355,0.07089,-1.1557295,0.00463,-0.643369,0.07119
-0.8532645,0.06841,-1.130193,7.70E-04,-1.1300355,3.40E-04,-0.8708225,0.06929,-1.148448,0.0055,-0.6360095,0.07117
-0.8459365,0.06846,-1.1225105,8.30E-04,-1.1223475,3.40E-04,-0.8634775,0.06943,-1.141108,0.00813,-0.6286695,0.07069
-0.8386355,0.06778,-1.1148385,5.60E-04,-1.114681,3.40E-04,-0.8561345,0.06949,-1.1337925,0.00494,-0.6213385,0.07058
-0.831338,0.06805,-1.1071885,3.40E-04,-1.107029,3.20E-04,-0.848788,0.06912,-1.126487,0.00594,-0.6140095,0.07083
-0.8239225,0.06954,-1.0995545,3.90E-04,-1.0993845,3.10E-04,-0.8414795,0.06868,-1.119184,0.0038,-0.606629,0.07174
-0.8165,0.06811,-1.091804,5.20E-04,-1.0916415,3.10E-04,-0.8341785,0.06916,-1.1118915,0.00466,-0.5992585,0.07034
-0.80915,0.06799,-1.084072,3.90E-04,-1.08376,2.90E-04,-0.826741,0.0711,-1.1046365,0.00444,-0.59193,0.07072
-0.801845,0.06705,-1.0763765,6.60E-04,-1.075784,2.90E-04,-0.819307,0.06898,-1.0973505,0.00433,-0.584595,0.07083
-0.79455,0.06793,-1.068683,3.60E-04,-1.0678145,2.90E-04,-0.811974,0.06941,-1.090001,0.00483,-0.577281,0.07041
-0.787246,0.06695,-1.06103,5.50E-04,-1.0598505,2.70E-04,-0.8046465,0.06869,-1.082706,0.00476,-0.5699565,0.07066
-0.779962,0.06731,-1.0533715,2.30E-04,-1.051904,2.50E-04,-0.797337,0.06884,-1.0754275,0.00465,-0.562625,0.07073
-0.7726685,0.06728,-1.045744,4.20E-04,-1.0439695,2.90E-04,-0.790029,0.06868,-1.068164,0.0046,-0.555222,0.07185
-0.7653695,0.06719,-1.0381165,3.70E-04,-1.0360595,3.00E-04,-0.782714,0.06869,-1.0609085,0.00457,-0.547824,0.06957
-0.7579755,0.06882,-1.0304145,4.10E-04,-1.0280435,2.90E-04,-0.775396,0.06854,-1.0536355,0.00409,-0.5405095,0.07113
